id,Рецепт,Ссылка
4310,"Румяная картошечка в соевом соусе, запечённая в духовке",https://www.russianfood.com/recipes/recipe.php?rid=145569
4315,"Картофель, запеченный с чесноком в сухарях",https://www.russianfood.com/recipes/recipe.php?rid=127534
4316,Лобио по-мегрельски,https://www.russianfood.com/recipes/recipe.php?rid=118952
4325,Картошечка Пасхальная по-гречески,https://www.russianfood.com/recipes/recipe.php?rid=117021
4330,Картофельное пюре с чесноком и мускатным орехом,https://www.russianfood.com/recipes/recipe.php?rid=120961
4333,Печеная картошка с сыром и перепелиным яйцом,https://www.russianfood.com/recipes/recipe.php?rid=115856
4336,Необычный картофель фри,https://www.russianfood.com/recipes/recipe.php?rid=130279
4339,"Картофель в ""гнездах""",https://www.russianfood.com/recipes/recipe.php?rid=133369
4346,Сырники с чиа и ягодным соусом,https://www.russianfood.com/recipes/recipe.php?rid=145406
4348,Молочная овсяная каша с ягодами,https://www.russianfood.com/recipes/recipe.php?rid=135866
4351,Запеканка из цветной капусты и курицы,https://www.russianfood.com/recipes/recipe.php?rid=178855
4352,Ретеш с творогом и абрикосами,https://www.russianfood.com/recipes/recipe.php?rid=178887
4353,Курица в сливочно-пивном соусе с грибами,https://www.russianfood.com/recipes/recipe.php?rid=178819
4354,Куриные отбивные в кляре с зелёным горошком,https://www.russianfood.com/recipes/recipe.php?rid=178902
4355,Прозиаки (прозяки),https://www.russianfood.com/recipes/recipe.php?rid=178746
4356,Запеканка из кабачков с помидорами и жареным луком,https://www.russianfood.com/recipes/recipe.php?rid=178818
4357,Шемшемоты (ассирийские пельмени с курицей и рисом),https://www.russianfood.com/recipes/recipe.php?rid=178450
4359,Земляничный чай для сердца,https://www.russianfood.com/recipes/recipe.php?rid=115066
4360,Пятиминутка из клубники или земляники,https://www.russianfood.com/recipes/recipe.php?rid=26644
4361,Желе из земляники,https://www.russianfood.com/recipes/recipe.php?rid=140354
4362,Запеченный картофель по-польски,https://www.russianfood.com/recipes/recipe.php?rid=130774
4363,"Картофель, запеченный с сыром и базиликом",https://www.russianfood.com/recipes/recipe.php?rid=119157
4364,"Запеченный картофель ""Гратен Дофинуа""",https://www.russianfood.com/recipes/recipe.php?rid=129388
4365,Воздушное картофельное суфле с сыром,https://www.russianfood.com/recipes/recipe.php?rid=134622
4366,Колканнон (картофельное пюре с капустой),https://www.russianfood.com/recipes/recipe.php?rid=121050
4368,Картофельное пюре по-нидерландски,https://www.russianfood.com/recipes/recipe.php?rid=129431
4370,Пхали,https://www.russianfood.com/recipes/recipe.php?rid=138963
4371,"Лук, запеченный в духовке",https://www.russianfood.com/recipes/recipe.php?rid=133704
4372,Запеченный молодой картофель,https://www.russianfood.com/recipes/recipe.php?rid=118938
4373,"Каша ""Монастырская""",https://www.russianfood.com/recipes/recipe.php?rid=135946
4374,Картофельные шарики во фритюре,https://www.russianfood.com/recipes/recipe.php?rid=2
4375,Печеный картофель со сметаной и луком,https://www.russianfood.com/recipes/recipe.php?rid=117370
4376,Картофель по-андалузски,https://www.russianfood.com/recipes/recipe.php?rid=127764
4377,"Брокколи, жаренная методом стир-фрай",https://www.russianfood.com/recipes/recipe.php?rid=130639
4378,Пряный печеный дольками картофель,https://www.russianfood.com/recipes/recipe.php?rid=121236
4379,"""Грибочки"" из картофеля",https://www.russianfood.com/recipes/recipe.php?rid=129540
4380,"Цветная капуста, запеченная в маринаде",https://www.russianfood.com/recipes/recipe.php?rid=139050
4381,"Картофель, приготовленный в медленноварке",https://www.russianfood.com/recipes/recipe.php?rid=119992
4382,Ризотто из перловой крупы,https://www.russianfood.com/recipes/recipe.php?rid=117909
4383,Гарнир «Герцогиня» из картофеля,https://www.russianfood.com/recipes/recipe.php?rid=137207
4384,Стручковая фасоль с чесночными стрелками,https://www.russianfood.com/recipes/recipe.php?rid=126922
4385,Каша по-монастырски,https://www.russianfood.com/recipes/recipe.php?rid=125917
4386,"Баклажаны ""Хуншао""",https://www.russianfood.com/recipes/recipe.php?rid=125991
4388,"Морковь, запеченная с сыром",https://www.russianfood.com/recipes/recipe.php?rid=120923
4389,Картофельное пюре,https://www.russianfood.com/recipes/recipe.php?rid=115646
4390,"Картофель, запеченный с луком пореем и сыром",https://www.russianfood.com/recipes/recipe.php?rid=119147
4391,Картофель по-гречески,https://www.russianfood.com/recipes/recipe.php?rid=134488
4392,Картофель от Джейми Оливера,https://www.russianfood.com/recipes/recipe.php?rid=123789
